+----------+----------+----------+----------+
| Cards    |    Total |    Games |  Average |
+----------+----------+----------+----------+
| 10-10-Q  |      956 |      667 |     1.43 |
| 10-Q-Q   |      939 |      675 |     1.39 |
| 10-10-10 |      171 |      124 |     1.38 |
| 8-10-10  |      947 |      688 |     1.38 |
| 8-10-Q   |     2557 |     1870 |     1.37 |
| 8-8-10   |      972 |      711 |     1.37 |
| 10-Q-K   |     2546 |     1863 |     1.37 |
| 9-10-10  |      997 |      732 |     1.36 |
| 10-10-K  |      946 |      698 |     1.36 |
| 7-7-10   |      885 |      655 |     1.35 |
| 10-Q-A   |     2443 |     1816 |     1.35 |
| 10-K-K   |      990 |      741 |     1.34 |
| 7-10-Q   |     2448 |     1833 |     1.34 |
| 10-10-A  |      945 |      708 |     1.33 |
| 10-A-A   |      925 |      697 |     1.33 |
| 7-10-10  |      930 |      708 |     1.31 |
| 10-J-Q   |     2430 |     1857 |     1.31 |
| A-A-A    |      174 |      133 |     1.31 |
| 10-10-J  |      952 |      728 |     1.31 |
| 7-10-A   |     2405 |     1843 |     1.30 |
| 8-10-A   |     2491 |     1915 |     1.30 |
| Q-A-A    |      930 |      715 |     1.30 |
| 3-Q-Q    |      902 |      695 |     1.30 |
| 6-10-10  |      902 |      695 |     1.30 |
| 4-10-10  |      914 |      705 |     1.30 |
| 5-10-Q   |     2449 |     1894 |     1.29 |
| 3-10-Q   |     2415 |     1870 |     1.29 |
| 6-10-Q   |     2384 |     1854 |     1.29 |
| 3-10-10  |      905 |      704 |     1.29 |
| 5-10-10  |      881 |      688 |     1.28 |
| 9-10-Q   |     2390 |     1873 |     1.28 |
| 6-6-10   |      894 |      701 |     1.28 |
| 4-10-Q   |     2326 |     1830 |     1.27 |
| 3-3-10   |      904 |      712 |     1.27 |
| 8-10-K   |     2372 |     1869 |     1.27 |
| Q-Q-A    |      930 |      733 |     1.27 |
| 10-K-A   |     2335 |     1843 |     1.27 |
| 6-10-A   |     2402 |     1896 |     1.27 |
| 9-9-10   |      859 |      679 |     1.27 |
| 2-2-Q    |      901 |      713 |     1.26 |
| 3-3-Q    |      945 |      748 |     1.26 |
| 10-J-K   |     2341 |     1853 |     1.26 |
| 4-4-10   |      902 |      718 |     1.26 |
| Q-Q-Q    |      143 |      114 |     1.25 |
| 7-10-K   |     2362 |     1883 |     1.25 |
| 3-8-10   |     2318 |     1850 |     1.25 |
| 10-J-A   |     2403 |     1920 |     1.25 |
| 3-10-K   |     2235 |     1788 |     1.25 |
| 3-10-A   |     2381 |     1916 |     1.24 |
| 3-9-10   |     2329 |     1876 |     1.24 |
| 6-10-K   |     2369 |     1915 |     1.24 |
| 9-10-K   |     2247 |     1820 |     1.23 |
| 10-J-J   |      883 |      717 |     1.23 |
| 8-8-Q    |      910 |      740 |     1.23 |
| 3-10-J   |     2276 |     1851 |     1.23 |
| 2-10-Q   |     2303 |     1877 |     1.23 |
| 5-5-10   |      799 |      652 |     1.23 |
| 8-10-J   |     2248 |     1835 |     1.23 |
| K-K-A    |      861 |      705 |     1.22 |
| 2-10-10  |      861 |      706 |     1.22 |
| 4-10-A   |     2285 |     1874 |     1.22 |
| 2-Q-Q    |      795 |      653 |     1.22 |
| 3-Q-A    |     2261 |     1859 |     1.22 |
| 5-10-K   |     2288 |     1882 |     1.22 |
| 9-10-A   |     2311 |     1903 |     1.21 |
| 2-2-10   |      843 |      696 |     1.21 |
| 3-3-A    |      813 |      673 |     1.21 |
| 7-10-J   |     2267 |     1882 |     1.20 |
| 5-10-A   |     2318 |     1925 |     1.20 |
| 2-8-10   |     2227 |     1850 |     1.20 |
| 4-10-K   |     2252 |     1871 |     1.20 |
| 2-2-2    |      148 |      123 |     1.20 |
| 3-8-Q    |     2309 |     1920 |     1.20 |
| 3-Q-K    |     2227 |     1852 |     1.20 |
| 3-K-K    |      868 |      722 |     1.20 |
| 3-A-A    |      788 |      657 |     1.20 |
| 2-10-A   |     2197 |     1832 |     1.20 |
| 8-9-10   |     2246 |     1876 |     1.20 |
| 8-Q-A    |     2222 |     1856 |     1.20 |
| K-A-A    |      841 |      703 |     1.20 |
| 3-3-J    |      896 |      750 |     1.19 |
| Q-K-A    |     2283 |     1918 |     1.19 |
| 3-6-10   |     2246 |     1887 |     1.19 |
| 3-7-10   |     2213 |     1860 |     1.19 |
| 2-Q-A    |     2188 |     1854 |     1.18 |
| 7-7-Q    |      853 |      723 |     1.18 |
| 3-3-K    |      852 |      724 |     1.18 |
| 3-7-Q    |     2203 |     1873 |     1.18 |
| 2-7-10   |     2138 |     1818 |     1.18 |
| 3-5-10   |     2168 |     1848 |     1.17 |
| 2-10-K   |     2229 |     1900 |     1.17 |
| 2-3-Q    |     2235 |     1907 |     1.17 |
| 7-Q-A    |     2157 |     1842 |     1.17 |
| 9-Q-A    |     2256 |     1928 |     1.17 |
| 2-10-J   |     2215 |     1899 |     1.17 |
| J-J-J    |      127 |      109 |     1.17 |
| 3-4-10   |     2244 |     1926 |     1.17 |
| Q-K-K    |      797 |      685 |     1.16 |
| 6-9-10   |     2121 |     1823 |     1.16 |
| 5-10-J   |     2158 |     1857 |     1.16 |
| Q-Q-K    |      803 |      691 |     1.16 |
| 5-Q-A    |     2146 |     1849 |     1.16 |
| 2-6-10   |     2122 |     1830 |     1.16 |
| 4-10-J   |     2185 |     1885 |     1.16 |
| 8-Q-Q    |      810 |      699 |     1.16 |
| 2-3-10   |     2132 |     1840 |     1.16 |
| 2-8-Q    |     2134 |     1843 |     1.16 |
| 3-K-A    |     2169 |     1874 |     1.16 |
| 6-10-J   |     2143 |     1852 |     1.16 |
| 3-9-Q    |     2152 |     1868 |     1.15 |
| 3-8-A    |     2137 |     1858 |     1.15 |
| 3-6-Q    |     2168 |     1888 |     1.15 |
| 2-2-3    |      812 |      709 |     1.15 |
| 6-Q-A    |     2126 |     1859 |     1.14 |
| 3-5-Q    |     2131 |     1864 |     1.14 |
| 8-A-A    |      797 |      698 |     1.14 |
| 9-10-J   |     2145 |     1879 |     1.14 |
| 7-Q-Q    |      818 |      717 |     1.14 |
| 4-Q-A    |     2092 |     1834 |     1.14 |
| 9-9-9    |      140 |      123 |     1.14 |
| 7-8-10   |     2069 |     1819 |     1.14 |
| 2-2-K    |      787 |      692 |     1.14 |
| 2-2-A    |      792 |      697 |     1.14 |
| 2-A-A    |      784 |      690 |     1.14 |
| 3-J-Q    |     2145 |     1888 |     1.14 |
| 5-9-10   |     2150 |     1893 |     1.14 |
| 6-8-10   |     2170 |     1912 |     1.13 |
| 5-8-10   |     2222 |     1958 |     1.13 |
| 2-3-A    |     2258 |     1991 |     1.13 |
| 2-9-10   |     2107 |     1859 |     1.13 |
| 6-6-Q    |      782 |      690 |     1.13 |
| 8-8-A    |      754 |      666 |     1.13 |
| J-Q-A    |     2188 |     1933 |     1.13 |
| 7-9-10   |     2068 |     1836 |     1.13 |
| 2-5-10   |     2114 |     1877 |     1.13 |
| 3-J-K    |     2047 |     1819 |     1.13 |
| 4-8-10   |     2068 |     1839 |     1.12 |
| J-J-A    |      789 |      702 |     1.12 |
| 2-3-K    |     2134 |     1899 |     1.12 |
| 2-7-Q    |     2088 |     1862 |     1.12 |
| 2-3-3    |      791 |      706 |     1.12 |
| 3-3-7    |      806 |      722 |     1.12 |
| 2-Q-K    |     2138 |     1916 |     1.12 |
| 9-A-A    |      766 |      687 |     1.11 |
| 3-7-A    |     2108 |     1892 |     1.11 |
| 8-K-A    |     2109 |     1897 |     1.11 |
| 6-A-A    |      798 |      718 |     1.11 |
| 4-4-Q    |      761 |      686 |     1.11 |
| 2-4-10   |     2185 |     1971 |     1.11 |
| 3-6-A    |     2108 |     1902 |     1.11 |
| 7-A-A    |      830 |      749 |     1.11 |
| 6-7-10   |     2192 |     1979 |     1.11 |
| 5-Q-Q    |      772 |      698 |     1.11 |
| 2-K-K    |      783 |      709 |     1.10 |
| 4-9-10   |     2141 |     1941 |     1.10 |
| 9-9-A    |      774 |      702 |     1.10 |
| 3-J-A    |     2067 |     1875 |     1.10 |
| J-A-A    |      855 |      776 |     1.10 |
| 9-K-A    |     2102 |     1911 |     1.10 |
| 2-J-Q    |     1967 |     1794 |     1.10 |
| 7-7-A    |      766 |      699 |     1.10 |
| 6-K-A    |     1996 |     1822 |     1.10 |
| 9-Q-Q    |      755 |      690 |     1.09 |
| J-J-Q    |      781 |      714 |     1.09 |
| 5-7-10   |     2035 |     1864 |     1.09 |
| 3-9-A    |     2096 |     1920 |     1.09 |
| 3-4-Q    |     2023 |     1857 |     1.09 |
| 3-8-K    |     2052 |     1884 |     1.09 |
| J-K-K    |      794 |      730 |     1.09 |
| 5-6-10   |     1979 |     1821 |     1.09 |
| 3-3-6    |      746 |      687 |     1.09 |
| 2-9-Q    |     2031 |     1871 |     1.09 |
| 2-9-A    |     2061 |     1899 |     1.09 |
| 4-7-10   |     2004 |     1848 |     1.08 |
| 7-K-A    |     2025 |     1868 |     1.08 |
| 3-3-9    |      737 |      680 |     1.08 |
| 2-J-A    |     2012 |     1857 |     1.08 |
| 4-Q-Q    |      791 |      732 |     1.08 |
| 3-3-8    |      796 |      738 |     1.08 |
| 3-3-5    |      762 |      707 |     1.08 |
| 6-Q-Q    |      780 |      724 |     1.08 |
| 2-K-A    |     2028 |     1883 |     1.08 |
| 2-8-A    |     1968 |     1828 |     1.08 |
| 8-Q-K    |     2006 |     1864 |     1.08 |
| J-K-A    |     2013 |     1871 |     1.08 |
| 2-7-A    |     1991 |     1853 |     1.07 |
| 2-J-J    |      752 |      700 |     1.07 |
| 2-6-Q    |     1976 |     1842 |     1.07 |
| 8-K-K    |      782 |      730 |     1.07 |
| 3-9-9    |      737 |      688 |     1.07 |
| 3-7-K    |     2065 |     1932 |     1.07 |
| 4-6-10   |     1938 |     1815 |     1.07 |
| 3-J-J    |      744 |      697 |     1.07 |
| 7-Q-K    |     2046 |     1917 |     1.07 |
| 6-Q-K    |     2001 |     1880 |     1.06 |
| J-Q-Q    |      762 |      716 |     1.06 |
| 5-5-A    |      714 |      673 |     1.06 |
| 2-3-J    |     1969 |     1856 |     1.06 |
| 3-5-A    |     1895 |     1787 |     1.06 |
| 3-9-K    |     1949 |     1838 |     1.06 |
| 8-J-A    |     1976 |     1864 |     1.06 |
| 8-8-K    |      775 |      733 |     1.06 |
| 3-7-7    |      765 |      724 |     1.06 |
| 3-6-K    |     1963 |     1871 |     1.05 |
| 2-8-8    |      748 |      715 |     1.05 |
| 3-4-A    |     1962 |     1876 |     1.05 |
| 2-3-8    |     2006 |     1921 |     1.04 |
| 2-9-K    |     1971 |     1890 |     1.04 |
| 2-2-8    |      714 |      685 |     1.04 |
| 2-3-9    |     1986 |     1908 |     1.04 |
| 5-K-A    |     1944 |     1868 |     1.04 |
| 7-7-K    |      723 |      695 |     1.04 |
| 4-Q-K    |     2005 |     1928 |     1.04 |
| 3-8-8    |      706 |      679 |     1.04 |
| 5-Q-K    |     1914 |     1841 |     1.04 |
| 9-9-Q    |      732 |      705 |     1.04 |
| 9-Q-K    |     1994 |     1922 |     1.04 |
| 8-8-J    |      752 |      726 |     1.04 |
| 2-7-7    |      724 |      699 |     1.04 |
| J-Q-K    |     1953 |     1887 |     1.03 |
| 8-9-A    |     1884 |     1822 |     1.03 |
| 5-A-A    |      770 |      746 |     1.03 |
| 4-K-A    |     1918 |     1861 |     1.03 |
| 2-5-Q    |     1921 |     1865 |     1.03 |
| 2-3-7    |     1935 |     1879 |     1.03 |
| 2-9-9    |      734 |      714 |     1.03 |
| 2-4-Q    |     1909 |     1857 |     1.03 |
| 3-5-K    |     1951 |     1899 |     1.03 |
| 7-J-A    |     1926 |     1875 |     1.03 |
| 2-7-K    |     1907 |     1857 |     1.03 |
| 2-J-K    |     1988 |     1939 |     1.03 |
| 3-4-K    |     1911 |     1867 |     1.02 |
| 3-9-J    |     1878 |     1838 |     1.02 |
| 2-6-A    |     1909 |     1869 |     1.02 |
| 3-8-J    |     1925 |     1887 |     1.02 |
| 2-2-7    |      710 |      696 |     1.02 |
| 9-J-A    |     1981 |     1944 |     1.02 |
| 2-2-J    |      703 |      690 |     1.02 |
| 5-5-Q    |      780 |      766 |     1.02 |
| 6-7-Q    |     1943 |     1909 |     1.02 |
| 3-3-3    |      118 |      116 |     1.02 |
| J-J-K    |      696 |      687 |     1.01 |
| 4-5-10   |     1917 |     1899 |     1.01 |
| 2-8-K    |     1828 |     1811 |     1.01 |
| 2-2-6    |      676 |      670 |     1.01 |
| 2-5-A    |     1878 |     1863 |     1.01 |
| 7-8-Q    |     1842 |     1835 |     1.00 |
| 6-J-A    |     1884 |     1878 |     1.00 |
| 7-8-A    |     1977 |     1974 |     1.00 |
| 6-6-A    |      759 |      759 |     1.00 |
| K-K-K    |      121 |      121 |     1.00 |
| 3-7-J    |     1875 |     1876 |     1.00 |
| 5-K-K    |      705 |      708 |     1.00 |
| 9-K-K    |      691 |      694 |     1.00 |
| 2-3-6    |     1856 |     1866 |     0.99 |
| 7-K-K    |      748 |      754 |     0.99 |
| 8-9-Q    |     1861 |     1878 |     0.99 |
| 2-2-9    |      648 |      654 |     0.99 |
| 7-9-Q    |     1907 |     1931 |     0.99 |
| 4-A-A    |      634 |      642 |     0.99 |
| 3-5-J    |     1843 |     1867 |     0.99 |
| 2-6-K    |     1874 |     1906 |     0.98 |
| 2-4-A    |     1875 |     1912 |     0.98 |
| 2-5-K    |     1975 |     2017 |     0.98 |
| 5-5-K    |      695 |      710 |     0.98 |
| 3-6-J    |     1818 |     1864 |     0.98 |
| 3-7-9    |     1777 |     1822 |     0.98 |
| 2-6-6    |      745 |      764 |     0.98 |
| 7-J-K    |     1875 |     1924 |     0.97 |
| 3-3-4    |      672 |      691 |     0.97 |
| 7-9-A    |     1825 |     1877 |     0.97 |
| 6-6-K    |      679 |      700 |     0.97 |
| 4-4-A    |      721 |      746 |     0.97 |
| 5-8-Q    |     1856 |     1922 |     0.97 |
| 4-9-A    |     1864 |     1932 |     0.96 |
| 3-8-9    |     1760 |     1825 |     0.96 |
| 6-8-A    |     1808 |     1877 |     0.96 |
| 2-7-J    |     1770 |     1839 |     0.96 |
| 6-8-Q    |     1810 |     1881 |     0.96 |
| 4-7-Q    |     1753 |     1822 |     0.96 |
| 5-7-Q    |     1835 |     1910 |     0.96 |
| 8-8-9    |      693 |      722 |     0.96 |
| 5-8-A    |     1802 |     1879 |     0.96 |
| 3-6-6    |      692 |      722 |     0.96 |
| 9-9-K    |      690 |      720 |     0.96 |
| 5-J-A    |     1770 |     1849 |     0.96 |
| 2-2-5    |      685 |      717 |     0.96 |
| 8-J-K    |     1752 |     1835 |     0.95 |
| 5-6-Q    |     1771 |     1858 |     0.95 |
| 6-7-A    |     1826 |     1917 |     0.95 |
| 4-7-A    |     1732 |     1819 |     0.95 |
| 7-J-Q    |     1864 |     1959 |     0.95 |
| 4-J-A    |     1837 |     1931 |     0.95 |
| 5-9-A    |     1800 |     1893 |     0.95 |
| 6-K-K    |      759 |      799 |     0.95 |
| 3-4-J    |     1715 |     1807 |     0.95 |
| 2-3-5    |     1834 |     1934 |     0.95 |
| 4-K-K    |      659 |      696 |     0.95 |
| 2-4-K    |     1833 |     1937 |     0.95 |
| 6-9-Q    |     1743 |     1845 |     0.94 |
| 8-J-Q    |     1782 |     1893 |     0.94 |
| 2-9-J    |     1738 |     1848 |     0.94 |
| 2-8-J    |     1752 |     1867 |     0.94 |
| 4-8-Q    |     1785 |     1905 |     0.94 |
| 6-9-A    |     1758 |     1879 |     0.94 |
| 3-7-8    |     1740 |     1863 |     0.93 |
| 3-6-9    |     1760 |     1886 |     0.93 |
| 3-5-5    |      642 |      689 |     0.93 |
| 6-J-K    |     1774 |     1908 |     0.93 |
| 6-J-Q    |     1740 |     1872 |     0.93 |
| 5-9-Q    |     1757 |     1891 |     0.93 |
| 9-J-Q    |     1746 |     1882 |     0.93 |
| 8-8-8    |      101 |      109 |     0.93 |
| 9-J-K    |     1747 |     1891 |     0.92 |
| 8-J-J    |      676 |      732 |     0.92 |
| 4-J-Q    |     1714 |     1857 |     0.92 |
| 2-3-4    |     1741 |     1887 |     0.92 |
| 8-9-K    |     1763 |     1921 |     0.92 |
| 4-9-Q    |     1703 |     1857 |     0.92 |
| 4-J-K    |     1730 |     1895 |     0.91 |
| 2-7-9    |     1629 |     1786 |     0.91 |
| 3-5-9    |     1698 |     1863 |     0.91 |
| 2-6-J    |     1681 |     1847 |     0.91 |
| 5-J-K    |     1794 |     1976 |     0.91 |
| 9-J-J    |      655 |      722 |     0.91 |
| 7-9-K    |     1691 |     1868 |     0.91 |
| 2-2-4    |      635 |      702 |     0.90 |
| 7-7-J    |      631 |      698 |     0.90 |
| 5-7-A    |     1717 |     1903 |     0.90 |
| 7-J-J    |      640 |      711 |     0.90 |
| 2-5-J    |     1725 |     1917 |     0.90 |
| 4-8-A    |     1657 |     1844 |     0.90 |
| 5-J-Q    |     1684 |     1877 |     0.90 |
| 2-8-9    |     1666 |     1863 |     0.89 |
| 7-8-K    |     1679 |     1879 |     0.89 |
| 6-J-J    |      651 |      730 |     0.89 |
| 2-7-8    |     1656 |     1864 |     0.89 |
| 9-9-J    |      675 |      761 |     0.89 |
| 5-6-A    |     1656 |     1869 |     0.89 |
| 4-6-A    |     1636 |     1851 |     0.88 |
| 2-5-9    |     1615 |     1828 |     0.88 |
| 3-6-8    |     1692 |     1916 |     0.88 |
| 2-5-5    |      625 |      709 |     0.88 |
| 2-4-J    |     1680 |     1907 |     0.88 |
| 5-9-K    |     1594 |     1812 |     0.88 |
| 3-5-7    |     1685 |     1918 |     0.88 |
| 6-9-K    |     1630 |     1856 |     0.88 |
| 5-5-5    |       91 |      104 |     0.88 |
| 5-J-J    |      629 |      721 |     0.87 |
| 7-7-7    |      109 |      125 |     0.87 |
| 3-4-9    |     1661 |     1909 |     0.87 |
| 4-6-Q    |     1585 |     1836 |     0.86 |
| 4-9-K    |     1606 |     1869 |     0.86 |
| 2-6-9    |     1550 |     1804 |     0.86 |
| 6-6-J    |      634 |      739 |     0.86 |
| 6-8-K    |     1604 |     1879 |     0.85 |
| 4-5-Q    |     1569 |     1839 |     0.85 |
| 5-9-9    |      590 |      692 |     0.85 |
| 6-7-K    |     1653 |     1941 |     0.85 |
| 3-4-8    |     1613 |     1896 |     0.85 |
| 3-5-8    |     1587 |     1868 |     0.85 |
| 3-4-4    |      596 |      704 |     0.85 |
| 2-5-7    |     1566 |     1857 |     0.84 |
| 2-5-8    |     1566 |     1873 |     0.84 |
| 4-8-K    |     1574 |     1885 |     0.84 |
| 2-4-9    |     1528 |     1830 |     0.83 |
| 3-6-7    |     1632 |     1962 |     0.83 |
| 4-J-J    |      599 |      721 |     0.83 |
| 2-6-8    |     1552 |     1870 |     0.83 |
| 5-7-K    |     1539 |     1855 |     0.83 |
| 6-6-6    |       97 |      117 |     0.83 |
| 4-4-4    |       90 |      109 |     0.83 |
| 7-7-9    |      587 |      712 |     0.82 |
| 7-8-J    |     1553 |     1891 |     0.82 |
| 4-4-K    |      601 |      732 |     0.82 |
| 7-9-9    |      598 |      730 |     0.82 |
| 3-5-6    |     1537 |     1877 |     0.82 |
| 6-9-9    |      556 |      679 |     0.82 |
| 8-9-9    |      560 |      685 |     0.82 |
| 2-4-7    |     1485 |     1817 |     0.82 |
| 5-8-K    |     1536 |     1890 |     0.81 |
| 3-4-7    |     1534 |     1890 |     0.81 |
| 4-5-A    |     1560 |     1936 |     0.81 |
| 2-6-7    |     1475 |     1844 |     0.80 |
| 3-4-6    |     1523 |     1907 |     0.80 |
| 2-4-4    |      583 |      731 |     0.80 |
| 4-7-K    |     1514 |     1903 |     0.80 |
| 5-6-K    |     1442 |     1822 |     0.79 |
| 5-5-J    |      533 |      675 |     0.79 |
| 8-9-J    |     1481 |     1879 |     0.79 |
| 2-4-8    |     1466 |     1870 |     0.78 |
| 6-8-8    |      535 |      685 |     0.78 |
| 4-4-J    |      526 |      674 |     0.78 |
| 7-9-J    |     1448 |     1879 |     0.77 |
| 4-7-J    |     1430 |     1859 |     0.77 |
| 5-9-J    |     1392 |     1813 |     0.77 |
| 7-7-8    |      529 |      689 |     0.77 |
| 6-9-J    |     1560 |     2032 |     0.77 |
| 7-8-8    |      532 |      693 |     0.77 |
| 4-6-K    |     1457 |     1905 |     0.76 |
| 6-7-J    |     1457 |     1918 |     0.76 |
| 5-7-J    |     1392 |     1839 |     0.76 |
| 6-8-J    |     1436 |     1908 |     0.75 |
| 4-8-J    |     1414 |     1881 |     0.75 |
| 2-4-6    |     1458 |     1942 |     0.75 |
| 2-5-6    |     1425 |     1904 |     0.75 |
| 5-7-7    |      520 |      696 |     0.75 |
| 4-9-J    |     1421 |     1910 |     0.74 |
| 4-9-9    |      531 |      714 |     0.74 |
| 5-8-J    |     1392 |     1890 |     0.74 |
| 4-8-8    |      532 |      723 |     0.74 |
| 5-6-J    |     1325 |     1822 |     0.73 |
| 5-5-7    |      537 |      750 |     0.72 |
| 6-6-9    |      486 |      681 |     0.71 |
| 5-5-9    |      498 |      700 |     0.71 |
| 3-4-5    |     1384 |     1960 |     0.71 |
| 7-8-9    |     1351 |     1917 |     0.70 |
| 4-6-J    |     1327 |     1883 |     0.70 |
| 5-5-8    |      547 |      778 |     0.70 |
| 4-5-K    |     1344 |     1922 |     0.70 |
| 6-7-9    |     1326 |     1898 |     0.70 |
| 2-4-5    |     1267 |     1818 |     0.70 |
| 6-6-7    |      527 |      758 |     0.70 |
| 4-4-9    |      472 |      681 |     0.69 |
| 6-6-8    |      505 |      733 |     0.69 |
| 5-7-9    |     1297 |     1884 |     0.69 |
| 5-8-9    |     1293 |     1879 |     0.69 |
| 5-5-6    |      533 |      775 |     0.69 |
| 6-8-9    |     1277 |     1867 |     0.68 |
| 4-7-9    |     1288 |     1888 |     0.68 |
| 4-4-8    |      488 |      722 |     0.68 |
| 5-8-8    |      452 |      676 |     0.67 |
| 4-8-9    |     1272 |     1906 |     0.67 |
| 5-6-6    |      476 |      722 |     0.66 |
| 4-5-J    |     1248 |     1893 |     0.66 |
| 6-7-7    |      438 |      670 |     0.65 |
| 4-7-7    |      458 |      709 |     0.65 |
